CATEGORIA;Evento;SUBCATEGORIA;Piloto;Horário;Volta;Tempo Total da Volta;Setor 1;Setor 2;Setor 3;TOP SPEED
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;82 - Gerson CAMPOS - CHA;13:20:36.674;4.0;1:50.045;20.484;56.380;33.181;136,809
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;82 - Gerson CAMPOS - CHA;13:22:21.918;5.0;1:45.244;20.452;51.821;32.971;143,050
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;82 - Gerson CAMPOS - CHA;13:31:25.492;6.0;6:48.502;;53.340;33.12;36,855
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;82 - Gerson CAMPOS - CHA;13:33:10.105;7.0;1:44.613;20.470;51.364;32.779;143,913
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;82 - Gerson CAMPOS - CHA;13:34:54.793;8.0;1:44.688;20.587;51.348;32.753;143,810
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;82 - Gerson CAMPOS - CHA;13:36:39.134;9.0;1:44.341;20.400;51.440;32.501;144,288
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;82 - Gerson CAMPOS - CHA;13:38:23.401;10.0;1:44.267;20.416;51.220;32.631;144,391
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;82 - Gerson CAMPOS - CHA;13:40:07.741;11.0;1:44.340;20.410;51.163;32.767;144,290
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;82 - Gerson CAMPOS - CHA;13:52:36.600;12.0;10:19.982;;51.853;32.712;24,283
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;82 - Gerson CAMPOS - CHA;14:01:52.756;13.0;6:56.263;;58.993;33.14;36,168
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;82 - Gerson CAMPOS - CHA;14:03:38.291;14.0;1:45.535;20.907;51.601;33.027;142,656
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;82 - Gerson CAMPOS - CHA;14:05:38.622;15.0;2:00.331;20.622;53.349;;125,115
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;77 - Mario Delara - CHA S;13:09:50.283;1.0;1:57.081;21.037;59.815;36.229;128,588
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;77 - Mario Delara - CHA S;13:17:25.466;2.0;5:18.628;;55.682;33.887;47,250
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;77 - Mario Delara - CHA S;13:19:10.828;3.0;1:45.362;20.747;51.824;32.791;142,890
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;77 - Mario Delara - CHA S;13:21:07.921;4.0;1:57.093;23.605;1:00.219;33.269;128,575
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;77 - Mario Delara - CHA S;13:32:35.220;5.0;9:28.266;;52.936;37.033;26,493
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;77 - Mario Delara - CHA S;13:34:19.791;6.0;1:44.571;20.504;51.299;32.768;143,971
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;77 - Mario Delara - CHA S;13:36:04.092;7.0;1:44.301;20.756;51.287;32.258;144,344
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;77 - Mario Delara - CHA S;13:38:02.248;8.0;1:58.156;20.926;51.184;;127,418
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;77 - Mario Delara - CHA S;13:52:21.233;9.0;14:18.985;;55.351;33.744;17,527
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;77 - Mario Delara - CHA S;13:54:35.499;10.0;2:14.266;20.591;58.964;;112,130
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;77 - Mario Delara - CHA S;14:01:11.659;11.0;6:36.160;;54.230;33.736;38,003
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;77 - Mario Delara - CHA S;14:03:02.373;12.0;1:50.714;20.648;56.253;33.813;135,983
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;77 - Mario Delara - CHA S;14:04:47.106;13.0;1:44.733;20.649;51.544;32.54;143,748
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;77 - Mario Delara - CHA S;14:06:31.879;14.0;1:44.773;20.457;51.368;32.948;143,694
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;5 - George Crispim - CHA S;13:09:30.979;1.0;1:49.891;21.754;54.363;33.774;137,001
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;5 - George Crispim - CHA S;13:17:13.412;2.0;5:24.540;;54.664;33.766;46,389
SPRINT CHALLENGE;TREINO OFICIAL OPCIONAL 2;N/A;5 - George Crispim - CHA S;13:19:00.893;3.0;1:47.481;21.029;52.934;33.518;140,073
