"Time of Day","Lap","LeadLap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SSTRAP","SSTRAP Tm"
111 - Neto CARLONI - TROPHY
"9:14:47.227","4","4","1:45.991","146,356","0,0","40.925","0,0","33.392","0,0","31.674","",""
"9:16:33.009","5","5","1:45.782","146,645","0,0","40.626","0,0","33.299","0,0","31.857","",""
"9:18:18.765","6","6","1:45.756","146,681","0,0","40.492","0,0","33.470","0,0","31.794","",""
"9:20:03.885","7","7","1:45.120","147,568","0,0","39.974","0,0","33.631","0,0","31.515","",""
"9:21:49.758","8","8","1:45.873","146,519","0,0","40.345","0,0","33.732","0,0","31.796","",""
"9:23:34.853","9","9","1:45.095","147,604","0,0","40.152","0,0","33.158","0,0","31.785","",""
"9:25:19.370","10","10","1:44.517","148,420","0,0","39.892","0,0","33.174","0,0","31.451","",""
"9:27:05.070","11","11","1:45.700","146,759","0,0","40.033","0,0","34.303","0,0","31.364","",""
"9:28:53.880","12","12","1:48.810","142,564","0,0","41.851","0,0","34.544","0,0","32.415","",""
84 - Fabrício SIMÕES - SPORT
"9:09:35.249","1","1","1:49.896","141,155","0,0","43.191","0,0","34.394","0,0","32.311","",""
"9:11:25.062","2","2","1:49.813","141,262","0,0","42.351","0,0","35.083","0,0","32.379","",""
"9:13:12.278","3","3","1:47.216","144,684","0,0","40.673","0,0","33.803","0,0","32.740","",""
"9:15:03.191","4","4","1:50.913","139,861","0,0","42.637","0,0","35.411","0,0","32.865","",""
"9:16:54.759","5","5","1:51.568","139,040","0,0","41.844","0,0","34.133","0,0","35.591","",""
"9:18:44.978","6","6","1:50.219","140,742","0,0","42.837","0,0","34.474","0,0","32.908","",""
"9:20:37.124","7","7","1:52.146","138,323","0,0","44.143","0,0","34.822","0,0","33.181","",""
"9:23:00.410","8","8","2:23.286","108,262","0,0","41.831","0,0","1:03.857","0,0","37.598","",""
"9:24:52.877","9","9","1:52.467","137,928","0,0","43.200","0,0","35.465","0,0","33.802","",""
"9:26:48.916","10","11","1:56.039","133,683","0,0","44.902","0,0","37.369","0,0","33.768","",""
"9:28:40.979","11","12","1:52.063","138,426","0,0","43.020","0,0","35.266","0,0","33.777","",""
"9:30:34.760","12","13","1:53.781","136,336","0,0","43.193","0,0","36.009","0,0","34.579","",""
911 - Paulo MUZY - SPORT
"9:09:36.054","1","1","1:49.619","141,512","0,0","42.893","0,0","34.407","0,0","32.319","",""
"9:11:27.366","2","2","1:51.312","139,360","0,0","43.344","0,0","35.614","0,0","32.354","",""
"9:13:14.503","3","3","1:47.137","144,790","0,0","40.599","0,0","33.302","0,0","33.236","",""
"9:15:04.730","4","4","1:50.227","140,731","0,0","44.395","0,0","33.941","0,0","31.891","",""
"9:16:52.964","5","5","1:48.234","143,323","0,0","41.650","0,0","34.050","0,0","32.534","",""
"9:18:39.001","6","6","1:46.037","146,292","0,0","40.809","0,0","33.298","0,0","31.930","",""
"9:20:26.580","7","7","1:47.579","144,195","0,0","40.394","0,0","34.385","0,0","32.800","",""
"9:22:12.276","8","8","1:45.696","146,764","0,0","39.971","0,0","33.557","0,0","32.168","",""
"9:24:01.415","9","9","1:49.139","142,134","0,0","42.525","0,0","34.609","0,0","32.005","",""
"9:28:12.077","10","11","4:10.662","61,886","0,0","40.000","0,0","2:55.033","0,0","35.629","",""
"9:30:02.131","11","12","1:50.054","140,953","0,0","42.040","0,0","35.379","0,0","32.635","",""
"9:31:50.221","12","13","1:48.090","143,514","0,0","40.633","0,0","34.611","0,0","32.846","",""
331 - Neto HEIL - TROPHY
"9:09:30.678","1","1","1:49.936","141,104","0,0","43.580","0,0","33.754","0,0","32.602","",""
"9:11:19.312","2","2","1:48.634","142,795","0,0","40.628","0,0","34.700","0,0","33.306","",""
"9:13:08.083","3","3","1:48.771","142,615","0,0","41.676","0,0","33.364","0,0","33.731","",""
"9:14:57.081","4","4","1:48.998","142,318","0,0","42.146","0,0","33.432","0,0","33.420","",""
"9:16:44.911","5","5","1:47.830","143,860","0,0","40.859","0,0","33.564","0,0","33.407","",""
"9:18:33.556","6","6","1:48.645","142,781","0,0","41.317","0,0","33.647","0,0","33.681","",""
"9:20:22.523","7","7","1:48.967","142,359","0,0","41.543","0,0","33.469","0,0","33.955","",""
"9:22:11.798","8","8","1:49.275","141,957","0,0","41.513","0,0","33.936","0,0","33.826","",""
"9:24:02.118","9","9","1:50.320","140,613","0,0","42.599","0,0","33.970","0,0","33.751","",""
"9:26:04.437","10","10","2:02.319","126,819","0,0","41.305","0,0","34.618","","","",""
72 - Sergio LAURENTYS - TROPHY
"9:09:27.034","1","1","1:47.106","144,832","0,0","42.228","0,0","33.245","0,0","31.633","",""
"9:11:12.128","2","2","1:45.094","147,605","0,0","39.457","0,0","33.771","0,0","31.866","",""
