"Time of Day","Lap","Lap Tm","Speed","S1","S1 Tm","S2","S2 Tm","S3","S3 Tm","SSTRAP","SSTRAP Tm"
32 - Matheus Roque - CHA S
"13:21:37.557","5","1:45.046","143,320","168,5","20.960","70,9","51.352","238,7","32.734","248,3","0.435"
"13:31:16.198","6","7:38.893","32,808","","","66,1","55.081","229,7","34.012","",""
"13:33:01.917","7","1:45.719","142,408","168,8","20.920","70,3","51.841","237,0","32.958","248,3","0.435"
"13:34:46.698","8","1:44.781","143,683","171,3","20.621","71,0","51.331","238,0","32.829","254,1","0.425"
"13:36:31.623","9","1:44.925","143,485","171,1","20.635","71,2","51.143","235,7","33.147","250,0","0.432"
"13:38:16.443","10","1:44.820","143,629","169,8","20.794","71,3","51.108","237,3","32.918","251,2","0.430"
"13:40:01.174","11","1:44.731","143,751","169,2","20.872","71,5","50.921","237,2","32.938","250,6","0.431"
"13:52:22.284","12","10:19.317","24,309","","","67,4","54.027","226,8","34.444","",""
"13:54:40.667","13","2:18.383","108,794","167,9","21.039","61,1","59.582","","","251,7","0.429"
"14:01:23.801","14","6:43.134","37,345","","","68,6","53.083","230,0","33.965","",""
"14:03:33.849","15","2:10.048","115,766","168,8","20.918","48,0","1:15.876","234,9","33.254","251,2","0.430"
"14:05:19.155","16","1:45.306","142,966","168,5","20.959","71,1","51.253","236,1","33.094","250,0","0.432"
7 - Luiz SOUZA - CHA S
"13:09:05.268","1","1:50.894","135,762","148,9","23.712","67,9","53.630","232,8","33.552","238,4","0.453"
"13:17:22.348","2","6:18.126","39,815","","","66,9","54.491","226,3","34.527","",""
"13:19:10.256","3","1:47.908","139,519","164,2","21.513","68,4","53.225","235,5","33.170","248,8","0.434"
"13:20:56.607","4","1:46.351","141,561","168,7","20.931","69,2","52.622","238,2","32.798","250,0","0.432"
"13:22:44.176","5","1:47.569","139,959","168,9","20.907","69,5","52.429","228,2","34.233","252,3","0.428"
"13:31:38.650","6","6:49.443","36,770","7,9","7:27.870","68,2","53.386","235,2","33.218","",""
"13:33:24.691","7","1:46.041","141,975","169,1","20.886","70,0","52.039","235,9","33.116","251,2","0.430"
"13:35:10.760","8","1:46.069","141,938","165,8","21.304","70,4","51.762","236,7","33.003","252,3","0.428"
"13:36:56.935","9","1:46.175","141,796","168,6","20.944","70,4","51.775","233,5","33.456","248,8","0.434"
"13:38:42.380","10","1:45.445","142,778","170,8","20.675","70,3","51.827","237,1","32.943","252,3","0.428"
"13:40:28.769","11","1:46.389","141,511","167,0","21.146","69,6","52.343","237,4","32.900","254,1","0.425"
"14:01:32.547","12","19:09.600","13,096","","","68,0","53.557","226,1","34.549","",""
"14:03:17.296","13","1:44.749","143,726","169,6","20.817","71,0","51.330","239,6","32.602","249,4","0.433"
"14:05:02.981","14","1:45.685","142,454","169,2","20.872","70,6","51.599","235,2","33.214","249,4","0.433"
23 - Leonardo Herrmann - CHA
"13:09:25.189","1","1:46.005","142,023","167,8","21.043","69,8","52.195","238,4","32.767","244,3","0.442"
"13:16:51.533","2","5:14.259","47,907","","","67,6","53.861","241,0","32.409","",""
"13:18:36.385","3","1:44.852","143,585","165,4","21.355","71,3","51.125","241,3","32.372","251,2","0.430"
"13:20:34.324","4","1:57.939","127,652","172,3","20.502","66,4","54.865","","","250,6","0.431"
98 - Cecília Rabelo - CHA S
"13:16:19.910","1","5:35.628","44,857","","","65,5","55.599","227,3","34.362","",""
"13:18:08.054","2","1:48.144","139,214","162,1","21.781","69,6","52.324","229,5","34.039","239,5","0.451"
"13:19:54.470","3","1:46.416","141,475","169,3","20.863","69,7","52.286","234,8","33.267","250,6","0.431"
"13:21:40.022","4","1:45.552","142,633","169,8","20.793","70,4","51.781","236,9","32.978","251,7","0.429"
"13:31:18.036","5","7:38.818","32,813","","","59,3","1:01.488","230,1","33.950","",""
"13:33:04.340","6","1:46.304","141,624","166,8","21.173","70,0","52.022","235,9","33.109","248,8","0.434"
"13:34:49.821","7","1:45.481","142,729","170,7","20.687","70,4","51.723","236,2","33.071","253,5","0.426"
"13:36:34.982","8","1:45.161","143,163","170,1","20.759","70,7","51.527","237,6","32.875","251,7","0.429"
"13:38:27.783","9","1:52.801","133,467","171,4","20.599","69,4","52.511","","","254,1","0.425"
99 - Claudio Reina - CHA R
"13:09:29.018","1","1:48.735","138,458","164,0","21.538","68,0","53.566","232,3","33.631","249,4","0.433"
"13:17:04.786","2","5:22.545","46,676","","","68,2","53.401","232,1","33.652","",""
"13:18:51.469","3","1:46.683","141,121","166,9","21.161","69,5","52.400","235,9","33.122","252,3","0.428"
"13:20:38.256","4","1:46.787","140,983","166,3","21.232","69,7","52.296","234,9","33.259","252,9","0.427"
"13:22:24.140","5","1:45.884","142,186","168,8","20.923","70,0","52.082","237,6","32.879","254,1","0.425"
"13:33:52.146","6","9:11.489","27,299","","","67,5","53.934","231,1","33.810","",""
"13:35:39.015","7","1:46.869","140,875","169,3","20.860","69,3","52.541","233,4","33.468","252,3","0.428"
"13:37:24.859","8","1:45.844","142,240","170,8","20.678","70,2","51.896","234,8","33.270","252,3","0.428"
"13:39:12.493","9","1:47.634","139,874","167,9","21.039","68,6","53.088","233,1","33.507","254,7","0.424"
"13:40:59.703","10","1:47.210","140,427","167,8","21.048","69,2","52.659","233,2","33.503","253,5","0.426"
"13:54:18.217","11","11:04.912","22,642","5,2","11:20.351","64,2","56.758","","","",""
"14:00:59.629","12","6:41.412","37,506","","","66,5","54.779","233,2","33.495","",""
"14:02:45.181","13","1:45.552","142,633","171,0","20.647","70,2","51.912","236,8","32.993","251,7","0.429"
"14:04:30.599","14","1:45.418","142,814","170,4","20.728","70,3","51.823","237,7","32.867","253,5","0.426"
"14:06:15.926","15","1:45.327","142,938","168,6","20.943","70,7","51.504","237,6","32.880","254,7","0.424"
2 - Rafa Brocchi - CHA R
"13:09:03.535","1","1:48.262","139,063","161,1","21.923","68,7","52.994","234,3","33.345","251,2","0.430"
"13:16:56.604","2","5:19.946","47,055","","","68,2","53.415","231,3","33.781","",""
"13:18:44.176","3","1:47.572","139,955","170,0","20.780","68,1","53.521","234,8","33.271","253,5","0.426"
"13:20:31.577","4","1:47.401","140,177","166,1","21.257","69,4","52.521","232,3","33.623","255,9","0.422"
"13:22:18.416","5","1:46.839","140,915","168,5","20.962","68,8","52.947","237,2","32.930","252,9","0.427"
"13:32:28.837","6","8:07.609","30,876","","","67,8","53.727","234,8","33.275","",""
"13:34:14.668","7","1:45.831","142,257","171,2","20.627","69,9","52.119","236,1","33.085","252,3","0.428"
"13:36:00.641","8","1:45.973","142,066","167,6","21.073","70,3","51.837","236,3","33.063","252,9","0.427"
"13:37:56.989","9","1:56.348","129,398","171,2","20.628","70,2","51.876","178,2","43.844","254,1","0.425"
"13:39:45.847","10","1:48.858","138,301","163,5","21.595","67,9","53.677","232,6","33.586","223,1","0.484"
"13:53:40.410","11","11:56.971","20,998","","","64,5","56.510","","","",""
"14:00:55.734","12","7:15.324","34,584","","","68,1","53.475","233,9","33.398","",""
"14:02:42.094","13","1:46.360","141,549","169,8","20.800","69,7","52.292","234,8","33.268","252,3","0.428"
"14:04:27.577","14","1:45.483","142,726","171,2","20.632","70,0","52.026","238,0","32.825","252,9","0.427"
"14:06:13.382","15","1:45.805","142,292","168,8","20.920","70,8","51.473","233,8","33.412","255,3","0.423"
14 - André GAIDZINSKI - CHA S
"13:09:19.511","1","1:51.013","135,617","161,8","21.830","66,2","55.005","228,6","34.178","244,9","0.441"
"13:20:07.920","2","8:35.828","29,186","","","67,6","53.893","231,9","33.694","",""
"13:21:55.756","3","1:47.836","139,612","166,7","21.189","68,5","53.173","233,4","33.474","251,7","0.429"
"13:31:28.120","4","7:31.671","33,332","","","67,5","53.996","231,9","33.686","",""
"13:33:13.667","5","1:45.547","142,640","171,6","20.580","70,2","51.906","236,3","33.061","253,5","0.426"
"13:34:59.178","6","1:45.511","142,688","170,0","20.772","70,3","51.849","237,5","32.890","253,5","0.426"
"13:36:44.881","7","1:45.703","142,429","169,9","20.785","70,5","51.657","234,9","33.261","252,3","0.428"
"13:38:41.180","8","1:56.299","129,453","155,8","22.665","62,1","58.655","223,3","34.979","243,2","0.444"
"13:40:28.051","9","1:46.871","140,873","167,0","21.150","69,6","52.353","234,1","33.368","245,5","0.440"
46 - Fabián TARABORELLI - CHA S
"13:09:27.538","1","1:52.801","133,467","155,7","22.681","66,4","54.900","221,8","35.220","213,9","0.505"
"13:17:02.297","2","5:21.889","46,771","","","66,8","54.514","219,0","35.666","",""
"13:18:50.266","3","1:47.969","139,440","166,9","21.160","68,4","53.301","233,1","33.508","251,7","0.429"
"13:20:40.224","4","1:49.958","136,918","152,0","23.234","69,1","52.754","230,0","33.970","251,2","0.430"
"13:22:27.031","5","1:46.807","140,957","169,6","20.829","69,6","52.344","232,3","33.634","252,3","0.428"
"13:32:00.472","6","7:08.937","35,099","7,4","7:58.546","62,3","58.453","214,4","36.442","",""
"13:33:48.674","7","1:48.202","139,140","164,1","21.517","68,3","53.356","234,4","33.329","240,0","0.450"
"13:35:35.266","8","1:46.592","141,241","167,7","21.065","69,5","52.385","235,7","33.142","238,9","0.452"
"13:37:23.628","9","1:48.362","138,934","165,9","21.292","67,9","53.644","233,7","33.426","246,0","0.439"
"13:39:10.723","10","1:47.095","140,578","167,9","21.029","69,4","52.524","232,9","33.542","243,8","0.443"
"13:40:59.400","11","1:48.677","138,532","164,9","21.421","68,4","53.278","229,9","33.978","247,7","0.436"
"13:52:54.532","12","9:44.003","25,779","5,7","10:20.541","62,8","57.978","213,4","36.613","",""
"14:01:15.634","13","6:02.260","41,559","","","64,2","56.753","226,7","34.457","",""
"14:03:03.434","14","1:47.800","139,659","166,9","21.163","68,9","52.855","231,2","33.782","247,1","0.437"
"14:04:51.457","15","1:48.023","139,370","168,2","21.001","68,0","53.579","233,6","33.443","248,8","0.434"
"14:06:39.356","16","1:47.899","139,530","164,4","21.486","68,6","53.088","234,4","33.325","241,1","0.448"
